Sentence|AE|Drug
Intravenous azithromycin-induced ototoxicity.|ototoxicity|azithromycin
Immobilization, while Paget's bone disease was present, and perhaps enhanced activation of dihydrotachysterol by rifampicin, could have led to increased calcium-release into the circulation.|increased calcium-release|dihydrotachysterol
Unaccountable severe hypercalcemia in a patient treated for hypoparathyroidism with dihydrotachysterol.|hypercalcemia|dihydrotachysterol
METHODS: We report two cases of pseudoporphyria caused by naproxen and oxaprozin.|pseudoporphyria|naproxen
METHODS: We report two cases of pseudoporphyria caused by naproxen and oxaprozin.|pseudoporphyria|oxaprozin
Naproxen, the most common offender, has been associated with a dimorphic clinical pattern: a PCT-like presentation and one simulating erythropoietic protoporphyria in the pediatric population.|erythropoietic protoporphyria|Naproxen
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.|cutaneous fragility|naproxen
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.|cutaneous fragility|oxaprozin
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.|tense bullae|naproxen
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.|tense bullae|oxaprozin
BACKGROUND: How to best treat psychotic patients who have had past clozapine-induced agranulocytosis or granulocytopenia remains a problem.|granulocytopenia|clozapine
CONCLUSION: The results suggest that olanzapine may be useful in treating patients with clozapine-induced granulocytopenia without the risk of recurrence of hematologic side effects.|granulocytopenia|clozapine
Prolonged severe 5-fluorouracil-associated neurotoxicity in a patient with dihydropyrimidine dehydrogenase deficiency.|neurotoxicity|5-fluorouracil
We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.|neurologic toxicity|5-FU
